timestamp,confs_vote_1,confs_vote_2,confs_vote_3,confs_vote_4,confs_vote_5,confs_vote_6,confs_vote_7,confs_vote_8,confs_vote_9,confs_vote_10,confs_vote_11,confs_vote_12,confs_vote_13,confs_vote_14,confs_vote_15,confs_vote_16,confs_vote_17,confs_vote_18,confs_vote_19,confs_vote_20
2025-08-03 23:30:00,0,0,0,0,0,0.5625,0.7056,0.8281,0.9216,0.9801,1,0.9801,0.9216,0.8281,0.7056,0.5625,0,0,0,0
2025-08-04 00:00:00,0,0,0,0,0,0.5625,0.7056,0.8281,0.9216,0.9801,1,0.9801,0.9216,0.8281,0.7056,0.5625,0,0,0,0
2025-08-04 00:30:00,0,0,0,0,0,0.5625,0.7056,0.8281,0.9216,0.9801,1,0.9801,0.9216,0.8281,0.7056,0.5625,0,0,0,0
2025-08-04 01:00:00,0,0,0,0,0,0.5625,0.7056,0.8281,0.9216,0.9801,1,0.9801,0.9216,0.8281,0.7056,0.5625,0,0,0,0
2025-08-04 01:30:00,0,0,0,0,0,0.5625,0.7056,0.8281,0.9216,0.9801,1,0.9801,0.9216,0.8281,0.7056,0.5625,0,0,0,0
2025-08-04 02:00:00,0,0,0,0,0,0.5625,0.7056,0.8281,0.9216,0.9801,1,0.9801,0.9216,0.8281,0.7056,0.5625,0,0,0,0
2025-08-04 02:30:00,0,0,0,0,0,0.5625,0.7056,0.8281,0.9216,0.9801,1,0.9801,0.9216,0.8281,0.7056,0.5625,0,0,0,0
2025-08-04 03:00:00,0,0,0,0,0,0.5625,0.7056,0.8281,0.9216,0.9801,1,0.9801,0.9216,0.8281,0.7056,0.5625,0,0,0,0
2025-08-04 03:30:00,0,0,0,0,0,0.5625,0.7056,0.8281,0.9216,0.9801,1,0.9801,0.9216,0.8281,0.7056,0.5625,0,0,0,0
2025-08-04 04:00:00,0,0,0,0,0,0.5625,0.7056,0.8281,0.9216,0.9801,1,0.9801,0.9216,0.8281,0.7056,0.5625,0,0,0,0
2025-08-04 04:30:00,0,0,0,0,0,0.5625,0.7056,0.8281,0.9216,0.9801,1,0.9801,0.9216,0.8281,0.7056,0.5625,0,0,0,0
2025-08-04 05:00:00,0,0,0,0,0,0.5625,0.7056,0.8281,0.9216,0.9801,1,0.9801,0.9216,0.8281,0.7056,0.5625,0,0,0,0
2025-08-04 05:30:00,0,0,0,0,0,0.5625,0.7056,0.8281,0.9216,0.9801,1,0.9801,0.9216,0.8281,0.7056,0.5625,0,0,0,0
2025-08-04 06:00:00,0,0,0,0,0,0.5625,0.7056,0.8281,0.9216,0.9801,1,0.9801,0.9216,0.8281,0.7056,0.5625,0,0,0,0
2025-08-04 06:30:00,0,0,0,0,0,0.5625,0.7056,0.8281,0.9216,0.9801,1,0.9801,0.9216,0.8281,0.7056,0.5625,0,0,0,0
2025-08-04 07:00:00,0,0,0,0,0,0.5625,0.7056,0.8281,0.9216,0.9801,1,0.9801,0.9216,0.8281,0.7056,0.5625,0,0,0,0
2025-08-04 07:30:00,0,0,0,0,0,0.5625,0.7056,0.8281,0.9216,0.9801,1,0.9801,0.9216,0.8281,0.7056,0.5625,0,0,0,0
2025-08-04 08:00:00,0,0,0,0,0,0.5625,0.7056,0.8281,0.9216,0.9801,1,0.9801,0.9216,0.8281,0.7056,0.5625,0,0,0,0
2025-08-04 08:30:00,0,0,0,0,0,0.5625,0.7056,0.8281,0.9216,0.9801,1,0.9801,0.9216,0.8281,0.7056,0.5625,0,0,0,0
2025-08-04 09:00:00,0,0,0,0,0,0.5625,0.7056,0.8281,0.9216,0.9801,1,0.9801,0.9216,0.8281,0.7056,0.5625,0,0,0,0
2025-08-04 09:30:00,0,0,0,0,0,0.5625,0.7056,0.8281,0.9216,0.9801,1,0.9801,0.9216,0.8281,0.7056,0.5625,0,0,0,0
2025-08-04 10:00:00,0,0,0,0,0,0.5625,0.7056,0.8281,0.9216,0.9801,1,0.9801,0.9216,0.8281,0.7056,0.5625,0,0,0,0
2025-08-04 10:30:00,0,0,0,0,0,0.5625,0.7056,0.8281,0.9216,0.9801,1,0.9801,0.9216,0.8281,0.7056,0.5625,0,0,0,0
2025-08-04 11:00:00,0,0,0,0,0,0.5625,0.7056,0.8281,0.9216,0.9801,1,0.9801,0.9216,0.8281,0.7056,0.5625,0,0,0,0
2025-08-04 11:30:00,0,0,0,0,0,0.5625,0.7056,0.8281,0.9216,0.9801,1,0.9801,0.9216,0.8281,0.7056,0.5625,0,0,0,0
2025-08-04 12:00:00,0,0,0,0,0,0.5625,0.7056,0.8281,0.9216,0.9801,1,0.9801,0.9216,0.8281,0.7056,0.5625,0,0,0,0
2025-08-04 12:30:00,0,0,0,0,0,0.5625,0.7056,0.8281,0.9216,0.9801,1,0.9801,0.9216,0.8281,0.7056,0.5625,0,0,0,0
2025-08-04 13:00:00,0,0,0,0,0,0.5625,0.7056,0.8281,0.9216,0.9801,1,0.9801,0.9216,0.8281,0.7056,0.5625,0,0,0,0
2025-08-04 13:30:00,0,0,0,0,0,0.5625,0.7056,0.8281,0.9216,0.9801,1,0.9801,0.9216,0.8281,0.7056,0.5625,0,0,0,0
2025-08-04 14:00:00,0,0,0,0,0,0.5625,0.7056,0.8281,0.9216,0.9801,1,0.9801,0.9216,0.8281,0.7056,0.5625,0,0,0,0
2025-08-04 14:30:00,0,0,0,0,0,0.5625,0.7056,0.8281,0.9216,0.9801,1,0.9801,0.9216,0.8281,0.7056,0.5625,0,0,0,0
2025-08-04 15:00:00,0,0,0,0,0,0.5625,0.7056,0.8281,0.9216,0.9801,1,0.9801,0.9216,0.8281,0.7056,0.5625,0,0,0,0
2025-08-04 15:30:00,0,0,0,0,0,0.5625,0.7056,0.8281,0.9216,0.9801,1,0.9801,0.9216,0.8281,0.7056,0.5625,0,0,0,0
2025-08-04 16:00:00,0,0,0,0,0,0.5625,0.7056,0.8281,0.9216,0.9801,1,0.9801,0.9216,0.8281,0.7056,0.5625,0,0,0,0
2025-08-04 16:30:00,0,0,0,0,0,0.5625,0.7056,0.8281,0.9216,0.9801,1,0.9801,0.9216,0.8281,0.7056,0.5625,0,0,0,0
2025-08-04 17:00:00,0,0,0,0,0,0.5625,0.7056,0.8281,0.9216,0.9801,1,0.9801,0.9216,0.8281,0.7056,0.5625,0,0,0,0
2025-08-04 17:30:00,0,0,0,0,0,0.5625,0.7056,0.8281,0.9216,0.9801,1,0.9801,0.9216,0.8281,0.7056,0.5625,0,0,0,0
2025-08-04 18:00:00,0,0,0,0,0,0.5625,0.7056,0.8281,0.9216,0.9801,1,0.9801,0.9216,0.8281,0.7056,0.5625,0,0,0,0
2025-08-04 18:30:00,0,0,0,0,0,0.5625,0.7056,0.8281,0.9216,0.9801,1,0.9801,0.9216,0.8281,0.7056,0.5625,0,0,0,0
2025-08-04 19:00:00,0,0,0,0,0,0.5625,0.7056,0.8281,0.9216,0.9801,1,0.9801,0.9216,0.8281,0.7056,0.5625,0,0,0,0
2025-08-04 19:30:00,0,0,0,0,0,0.5625,0.7056,0.8281,0.9216,0.9801,1,0.9801,0.9216,0.8281,0.7056,0.5625,0,0,0,0
2025-08-04 20:00:00,0,0,0,0,0,0.5625,0.7056,0.8281,0.9216,0.9801,1,0.9801,0.9216,0.8281,0.7056,0.5625,0,0,0,0
2025-08-04 20:30:00,0,0,0,0,0,0.5625,0.7056,0.8281,0.9216,0.9801,1,0.9801,0.9216,0.8281,0.7056,0.5625,0,0,0,0
2025-08-04 21:00:00,0,0,0,0,0,0.5625,0.7056,0.8281,0.9216,0.9801,1,0.9801,0.9216,0.8281,0.7056,0.5625,0,0,0,0
2025-08-04 21:30:00,0,0,0,0,0,0.5625,0.7056,0.8281,0.9216,0.9801,1,0.9801,0.9216,0.8281,0.7056,0.5625,0,0,0,0
2025-08-04 22:00:00,0,0,0,0,0,0.5625,0.7056,0.8281,0.9216,0.9801,1,0.9801,0.9216,0.8281,0.7056,0.5625,0,0,0,0
2025-08-04 22:30:00,0,0,0,0,0,0.5625,0.7056,0.8281,0.9216,0.9801,1,0.9801,0.9216,0.8281,0.7056,0.5625,0,0,0,0
2025-08-04 23:00:00,0,0,0,0,0,0.5625,0.7056,0.8281,0.9216,0.9801,1,0.9801,0.9216,0.8281,0.7056,0.5625,0,0,0,0
2025-08-04 23:30:00,0,0,0,0,0,0.5625,0.7056,0.8281,0.9216,0.9801,1,0.9801,0.9216,0.8281,0.7056,0.5625,0,0,0,0
2025-08-05 00:00:00,0,0,0,0,0,0.5625,0.7056,0.8281,0.9216,0.9801,1,0.9801,0.9216,0.8281,0.7056,0.5625,0,0,0,0
2025-08-05 00:30:00,0,0,0,0,0,0.5625,0.7056,0.8281,0.9216,0.9801,1,0.9801,0.9216,0.8281,0.7056,0.5625,0,0,0,0
2025-08-05 01:00:00,0,0,0,0,0,0.5625,0.7056,0.8281,0.9216,0.9801,1,0.9801,0.9216,0.8281,0.7056,0.5625,0,0,0,0
2025-08-05 01:30:00,0,0,0,0,0,0.5625,0.7056,0.8281,0.9216,0.9801,1,0.9801,0.9216,0.8281,0.7056,0.5625,0,0,0,0
2025-08-05 02:00:00,0,0,0,0,0,0.5625,0.7056,0.8281,0.9216,0.9801,1,0.9801,0.9216,0.8281,0.7056,0.5625,0,0,0,0
2025-08-05 02:30:00,0,0,0,0,0,0.5625,0.7056,0.8281,0.9216,0.9801,1,0.9801,0.9216,0.8281,0.7056,0.5625,0,0,0,0
2025-08-05 03:00:00,0,0,0,0,0,0.5625,0.7056,0.8281,0.9216,0.9801,1,0.9801,0.9216,0.8281,0.7056,0.5625,0,0,0,0
2025-08-05 03:30:00,0,0,0,0,0,0.5625,0.7056,0.8281,0.9216,0.9801,1,0.9801,0.9216,0.8281,0.7056,0.5625,0,0,0,0
2025-08-05 04:00:00,0,0,0,0,0,0.5625,0.7056,0.8281,0.9216,0.9801,1,0.9801,0.9216,0.8281,0.7056,0.5625,0,0,0,0
2025-08-05 04:30:00,0,0,0,0,0,0.5625,0.7056,0.8281,0.9216,0.9801,1,0.9801,0.9216,0.8281,0.7056,0.5625,0,0,0,0
2025-08-05 05:00:00,0,0,0,0,0,0.5625,0.7056,0.8281,0.9216,0.9801,1,0.9801,0.9216,0.8281,0.7056,0.5625,0,0,0,0
2025-08-05 05:30:00,0,0,0,0,0,0.5625,0.7056,0.8281,0.9216,0.9801,1,0.9801,0.9216,0.8281,0.7056,0.5625,0,0,0,0
2025-08-05 06:00:00,0,0,0,0,0,0.5625,0.7056,0.8281,0.9216,0.9801,1,0.9801,0.9216,0.8281,0.7056,0.5625,0,0,0,0
2025-08-05 06:30:00,0,0,0,0,0,0.5625,0.7056,0.8281,0.9216,0.9801,1,0.9801,0.9216,0.8281,0.7056,0.5625,0,0,0,0
2025-08-05 07:00:00,0,0,0,0,0,0.5625,0.7056,0.8281,0.9216,0.9801,1,0.9801,0.9216,0.8281,0.7056,0.5625,0,0,0,0
2025-08-05 07:30:00,0,0,0,0,0,0.5625,0.7056,0.8281,0.9216,0.9801,1,0.9801,0.9216,0.8281,0.7056,0.5625,0,0,0,0
2025-08-05 08:00:00,0,0,0,0,0,0.5625,0.7056,0.8281,0.9216,0.9801,1,0.9801,0.9216,0.8281,0.7056,0.5625,0,0,0,0
2025-08-05 08:30:00,0,0,0,0,0,0.5625,0.7056,0.8281,0.9216,0.9801,1,0.9801,0.9216,0.8281,0.7056,0.5625,0,0,0,0
2025-08-05 09:00:00,0,0,0,0,0,0.5625,0.7056,0.8281,0.9216,0.9801,1,0.9801,0.9216,0.8281,0.7056,0.5625,0,0,0,0
2025-08-05 09:30:00,0,0,0,0,0,0.5625,0.7056,0.8281,0.9216,0.9801,1,0.9801,0.9216,0.8281,0.7056,0.5625,0,0,0,0
2025-08-05 10:00:00,0,0,0,0,0,0.5625,0.7056,0.8281,0.9216,0.9801,1,0.9801,0.9216,0.8281,0.7056,0.5625,0,0,0,0
2025-08-05 10:30:00,0,0,0,0,0,0.5625,0.7056,0.8281,0.9216,0.9801,1,0.9801,0.9216,0.8281,0.7056,0.5625,0,0,0,0
2025-08-05 11:00:00,0,0,0,0,0,0.5625,0.7056,0.8281,0.9216,0.9801,1,0.9801,0.9216,0.8281,0.7056,0.5625,0,0,0,0
2025-08-05 11:30:00,0,0,0,0,0,0.5625,0.7056,0.8281,0.9216,0.9801,1,0.9801,0.9216,0.8281,0.7056,0.5625,0,0,0,0
2025-08-05 12:00:00,0,0,0,0,0,0.5625,0.7056,0.8281,0.9216,0.9801,1,0.9801,0.9216,0.8281,0.7056,0.5625,0,0,0,0
2025-08-05 12:30:00,0,0,0,0,0,0.5625,0.7056,0.8281,0.9216,0.9801,1,0.9801,0.9216,0.8281,0.7056,0.5625,0,0,0,0
2025-08-05 13:00:00,0,0,0,0,0,0.5625,0.7056,0.8281,0.9216,0.9801,1,0.9801,0.9216,0.8281,0.7056,0.5625,0,0,0,0
2025-08-05 13:30:00,0,0,0,0,0,0.5625,0.7056,0.8281,0.9216,0.9801,1,0.9801,0.9216,0.8281,0.7056,0.5625,0,0,0,0
2025-08-05 14:00:00,0,0,0,0,0,0.5625,0.7056,0.8281,0.9216,0.9801,1,0.9801,0.9216,0.8281,0.7056,0.5625,0,0,0,0
2025-08-05 14:30:00,0,0,0,0,0,0.5625,0.7056,0.8281,0.9216,0.9801,1,0.9801,0.9216,0.8281,0.7056,0.5625,0,0,0,0
2025-08-05 15:00:00,0,0,0,0,0,0.5625,0.7056,0.8281,0.9216,0.9801,1,0.9801,0.9216,0.8281,0.7056,0.5625,0,0,0,0
2025-08-05 15:30:00,0,0,0,0,0,0.5625,0.7056,0.8281,0.9216,0.9801,1,0.9801,0.9216,0.8281,0.7056,0.5625,0,0,0,0
2025-08-05 16:00:00,0,0,0,0,0,0.5625,0.7056,0.8281,0.9216,0.9801,1,0.9801,0.9216,0.8281,0.7056,0.5625,0,0,0,0
2025-08-05 16:30:00,0,0,0,0,0,0.5625,0.7056,0.8281,0.9216,0.9801,1,0.9801,0.9216,0.8281,0.7056,0.5625,0,0,0,0
2025-08-05 17:00:00,0,0,0,0,0,0.5625,0.7056,0.8281,0.9216,0.9801,1,0.9801,0.9216,0.8281,0.7056,0.5625,0,0,0,0
2025-08-05 17:30:00,0,0,0,0,0,0.5625,0.7056,0.8281,0.9216,0.9801,1,0.9801,0.9216,0.8281,0.7056,0.5625,0,0,0,0
2025-08-05 18:00:00,0,0,0,0,0,0.5625,0.7056,0.8281,0.9216,0.9801,1,0.9801,0.9216,0.8281,0.7056,0.5625,0,0,0,0
2025-08-05 18:30:00,0,0,0,0,0,0.5625,0.7056,0.8281,0.9216,0.9801,1,0.9801,0.9216,0.8281,0.7056,0.5625,0,0,0,0
2025-08-05 19:00:00,0,0,0,0,0,0.5625,0.7056,0.8281,0.9216,0.9801,1,0.9801,0.9216,0.8281,0.7056,0.5625,0,0,0,0
2025-08-05 19:30:00,0,0,0,0,0,0.5625,0.7056,0.8281,0.9216,0.9801,1,0.9801,0.9216,0.8281,0.7056,0.5625,0,0,0,0
2025-08-05 20:00:00,0,0,0,0,0,0.5625,0.7056,0.8281,0.9216,0.9801,1,0.9801,0.9216,0.8281,0.7056,0.5625,0,0,0,0
