timestamp,T_star,P_theta_ge_Tstar
2025-08-03 04:00:00,0.5,0.00591729282726583
2025-08-03 04:30:00,0.5,0.007419362755631376
2025-08-03 05:00:00,0.5,0.00833951567578528
2025-08-03 05:30:00,0.5,0.10426135953032956
2025-08-03 06:00:00,0.5,0.02990775670610679
2025-08-03 06:30:00,0.5,0.007526859671473596
2025-08-03 07:00:00,0.5,0.0051447186958007984
2025-08-03 07:30:00,0.5,0.005471329058580721
2025-08-03 08:00:00,0.5,0.0058482947294474785
2025-08-03 08:30:00,0.5,0.006435824784099098
2025-08-03 09:00:00,0.5,0.008985777533888073
2025-08-03 09:30:00,0.5,0.006641686805592739
2025-08-03 10:00:00,0.5,0.006734740861039645
2025-08-03 10:30:00,0.5,0.012020924372573738
2025-08-03 11:00:00,0.5,0.010039484690184453
2025-08-03 11:30:00,0.5,0.006865509218998422
2025-08-03 12:00:00,0.5,0.006819416160477099
2025-08-03 12:30:00,0.5,0.010563427247968438
2025-08-03 13:00:00,0.5,0.006929916991676444
2025-08-03 13:30:00,0.5,0.007308679309663613
2025-08-03 14:00:00,0.5,0.0076934284054748225
2025-08-03 14:30:00,0.5,0.010401451765438718
2025-08-03 15:00:00,0.5,0.007062572329002426
2025-08-03 15:30:00,0.5,0.005696555247869495
2025-08-03 16:00:00,0.5,0.006550718038056069
2025-08-03 16:30:00,0.5,0.005893381364743933
2025-08-03 17:00:00,0.5,0.015704847366100894
2025-08-03 17:30:00,0.5,0.017411582595639352
2025-08-03 18:00:00,0.5,0.048296186003138564
2025-08-03 18:30:00,0.5,0.009173124329632132
2025-08-03 19:00:00,0.5,0.007661321438310775
2025-08-03 19:30:00,0.5,0.0059003311481787835
2025-08-03 20:00:00,0.5,0.007685265666410146
2025-08-03 20:30:00,0.5,0.005570603291170317
2025-08-03 21:00:00,0.5,0.004779866223260654
2025-08-03 21:30:00,0.5,0.003961741950460951
2025-08-03 22:00:00,0.5,0.003543752234563491
